epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
100 (0.12674664955559944, 0.20580923721051944) (0.10961666632568327, 0.1828125)
200 (0.13131400686385541, 0.21032157676348548) (0.1103424399851805, 0.17948048557629553)
300 (0.13218883187209732, 0.20621505655961514) (0.11486382863143449, 0.18076371692949303)
400 (0.13352521579170235, 0.20745920745920746) (0.10799351818727185, 0.1731996353691887)
500 (0.13521456063263004, 0.20754716981132076) (0.11005504881067245, 0.17331427829024296)
600 (0.14168345869252363, 0.21611103904527176) (0.11385388922697748, 0.17767028369721533)
700 (0.14094240357472954, 0.21708647104648143) (0.11056716173772534, 0.1726066597294485)
800 (0.1429822806147466, 0.2093923364727132) (0.11509822209405651, 0.18046185781006746)
900 (0.1439786720175761, 0.2208572922111866) (0.10982639904366556, 0.16862591431556948)
1000 (0.13906566857778124, 0.20742953630341604) (0.11838412923929822, 0.18270608152103138)
